TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD,활동소비내역중복여부,숙박소비내역중복여부
e_e002583,고기 왕만두 1개,1,1,1191880055,장수왕만두,서울 관악구 관악로 185,,3120001,1162010100,6/10/23 15:33,1,1500,고기왕만두 ,,0,0
e_e002584,블룸비스타 숙박권,0,4,,블룸비스타,강남로 316,,,,,3,150000,,4183032000,0,0
e_e002610,갈비탕; 라면; 계란 등,0,4,,라성마트,라성마트,,,,,1,100000,,4127310800,0,0
e_e002638,옷,0,2,,로가디스,로가디스 동해점,,,,,2,480000,,4217010100,0,0
e_e002673,웅진플레이도시입장권,0,2,,웅진플레이도시,572-1,,,,,1,59200,,4119010900,1,0
e_e002681,내일로패스(기차 교통권),1,1,3148210024,한국철도공사,대전 동구 중앙로 240,,3164033,3011011300,6/15/23 0:30,1,70000,기차표 ,,0,0
e_e002719,여행중 취식할 커피및 빵류,1,4,2016400401,GS25,경기 시흥시 포도원로116번길 26,경기 시흥시 신천동 863-9,4397629,4139010200,6/10/23 9:01,3,5400,바리스타라떼,,0,0
e_e002719,여행중 취식할 커피및 빵류,2,4,4863001326,파리바게뜨,경기 시흥시 신천3길 23-1,경기 시흥시 신천동 761-1,4397407,4139010200,6/9/23 12:54,1,11800,우유가좋은뽀로로케익;생크림폭탄도넛;부드러운 우유모닝롤;시크릿쥬쥬 치어팩;공룡메카드오렌지,,0,0
e_e002728,에버랜드 입장권,1,2,1358504288,삼성물산(주) 에버랜드리조트 ,경기 용인시 처인구 포곡읍 에버랜드로 199,,3203081,4146125027,6/2/23 0:18,1,36900,에버랜드 종일권,,0,0
e_e002728,에버랜드 입장권,2,2,,,,,,,6/2/23 0:19,1,36900,에버랜드 종일권,,0,0
e_e002736,공연 티켓 온라인 예매,1,1,,장충체육관,서울 중구 동호로 241,서울 중구 장충동2가 200-102,3005001,1114014400,6/17/23 18:00,1,0,관람권 ,,0,0
e_e002756,크록스,1,1,2018132195,(주)신세계백화점,서울 영등포구 영중로 9,서울 영등포구 영등포동4가 434-5,3118024,1156010500,6/6/23 0:00,1,62900,,,0,0
e_e002767,각종 식재료; 고기; 야채 등,0,11,,홈플러스계산점,1061,,,,,1,322300,,2824510200,0,0
e_e002782,먹을것,1,4,,이마트,,,,,,1,168460,체리외,,0,0
